gen     	evals	sigma	distance	avg 	std 	min 	max  	dur 
0130/150	19   	2.01 	10.95   	81.05 	60.59	23.19	174.37	10  
0131/150	19   	1.96 	12.51   	104.56	55.37	35.76	172.54	10  
0132/150	19   	1.97 	12.51   	99.02 	64.04	14.81	171.97	10  
0133/150	19   	1.97 	12.04   	69.45 	49.56	11.81	168.32	10  
0134/150	19   	1.95 	11.86   	79.71 	61.96	10.31	171.72	10  
0135/150	19   	1.96 	11.02   	86.18 	56.53	21.82	170.76	10  
0136/150	19   	1.95 	12.56   	106.96	61.58	23.52	171.69	10  
0137/150	19   	1.94 	12.53   	93.87 	66.04	13.46	172.62	10  
0138/150	19   	1.92 	11.85   	70.06 	55.14	16.78	169.39	10  
0139/150	19   	1.87 	12.22   	85.48 	57.68	22.23	171.49	10  
0140/150	19   	1.86 	12.2    	102.45	68.13	14.3 	171.91	10  
0141/150	19   	1.84 	12.45   	118.28	60.1 	21.06	175.53	10  
0142/150	19   	1.81 	12.24   	98    	68.23	10.96	174.01	10  
0143/150	19   	1.77 	12.31   	91.4  	59.61	14.45	179.55	10  
0144/150	19   	1.69 	12.63   	138.89	51.7 	27.35	180.99	10  
0145/150	19   	1.65 	12.34   	92.7  	68.97	16.84	176.58	10  
0146/150	19   	1.64 	12.28   	121.63	62.58	15.35	182.79	10  
0147/150	19   	1.62 	11.78   	86.46 	62.92	18.93	178.08	10  
0148/150	19   	1.63 	13.11   	105.79	65.19	21.43	182.93	10  
0149/150	19   	1.63 	11.05   	91.28 	53.52	24.66	177.09	10
